Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address ,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
Lea Mitchell,63,65,1956,10,Female,881 Ocean View Street,Chicago,IL,60657,41.83,-87.68,$0 ,$4 ,$0 ,691,3
Audrey Morales,32,67,1987,12,Female,7012 11th Lane,New York,NY,10025,40.71,-73.99,"$23,874 ","$48,676 ","$110,589 ",721,4
Shawn Walker,62,66,1957,9,Male,6076 Bayview Boulevard,Milwaukee,WI,53206,43.06,-87.96,"$9,995 ","$20,377 ","$12,092 ",789,4
Ryan Ajami,53,68,1967,2,Female,75011 Lafayette Drive Apt. 42,Mira Loma,CA,91752,33.99,-117.53,"$19,851 ","$40,470 ","$87,086 ",691,5
Kingston Peterson,52,62,1967,3,Male,544 Main Drive,Canton,MA,2021,42.15,-71.13,"$38,878 ","$79,272 ","$107,029 ",716,3
Rhett Nelson,42,63,1978,1,Male,603 Rose Avenue,Windsor,CT,6095,41.85,-72.65,"$29,261 ","$59,663 ","$89,579 ",681,1
Zayd Kelly,30,71,1990,2,Male,5737 Washington Boulevard,Huntingdon Valley,PA,19006,40.13,-75.06,"$34,043 ","$69,412 ","$64,273 ",699,2
Melany Taylor,23,55,1996,3,Female,989 Hill Avenue,Leesburg,FL,34748,28.8,-81.88,"$11,204 ","$22,844 ","$37,625 ",689,1
Ahmed Russell,69,63,1950,4,Male,5233 Valley Stream Street,Albuquerque,NM,87106,35.11,-106.62,"$20,993 ","$16,542 ","$36,831 ",733,3
Peyton Richardson,23,71,1996,10,Female,515 Tenth Lane,Carmel,CA,93923,36.46,-121.82,"$29,174 ","$59,479 ","$69,645 ",688,1
Emerald Butler,61,64,1958,5,Female,98 Ninth Street,Ooltewah,TN,37363,35.06,-85.09,"$25,814 ","$52,633 ","$137,109 ",704,1
Coraline Gonzalez,21,67,1998,4,Female,4497 Summit Boulevard,Mount Airy,NC,27030,36.5,-80.61,"$15,286 ","$31,167 ","$29,342 ",749,3
Tori Ortiz,25,65,1994,4,Female,7111 Lexington Avenue,Des Moines,IA,50313,41.57,-93.61,"$18,568 ","$37,864 ","$57,052 ",686,1
Tinsley Campbell,18,61,2001,9,Female,293 South Street,Laneville,TX,75667,31.94,-94.85,"$16,183 ","$32,998 ","$45,196 ",736,1
Susan Kelley,31,69,1988,8,Female,1415 Sixth Street Apt. 830,Midland,TX,79701,32.02,-102.1,"$17,329 ","$35,331 ","$55,566 ",697,4
Barrett Brooks,46,68,1974,2,Male,2292 South Street Apt. 72,Grenada,MS,38901,33.77,-89.81,"$15,568 ","$31,739 ","$81,905 ",799,5
Rylie Roberts,18,65,2001,4,Female,1692 Hillside Avenue Apt. 2001,Gorman,TX,76454,32.21,-98.67,"$12,583 ","$25,654 ","$55,761 ",746,1
Curtis Rivera,35,66,1984,10,Male,34 Summit Drive Apt. 2,Chula Vista,CA,91911,32.61,-117.03,"$16,942 ","$34,542 ","$35,474 ",697,4
Elias El-Mafouk,26,61,1993,5,Male,930 Mill Drive,Herrin,IL,62948,37.8,-89.03,"$16,397 ","$33,437 ","$56,690 ",588,1
Andre Burns,53,69,1966,7,Male,274 Summit Street,Dallas,TX,75227,32.79,-96.76,"$13,799 ","$28,134 ","$20,231 ",707,3
Coen Peres,54,71,1965,9,Male,9939 Mill Lane Apt. 780,Suwanee,GA,30024,34.05,-84.07,"$35,710 ","$72,807 ",$0 ,803,3
Gracelynn Peres,62,65,1957,10,Female,24684 Ocean View Boulevard,Gresham,OR,97080,45.47,-122.37,"$22,599 ","$46,075 ","$139,335 ",741,3
Olivia Brooks,35,69,1984,6,Female,4395 Bayview Lane,Spokane,WA,99216,47.69,-117.19,"$17,760 ","$36,213 ","$48,364 ",637,1
Melody Hill,62,66,1957,7,Female,4823 Lincoln Drive Apt. 4,Denver,CO,80221,39.76,-104.87,"$16,459 ","$33,556 ","$10,619 ",799,4
Leonardo Howard,54,61,1965,7,Male,456 Sixth Boulevard,Austin,TX,78705,30.26,-97.74,"$23,287 ","$47,482 ","$59,590 ",726,5
Joshua Diaz,52,60,1967,8,Male,3740 Ocean Lane,Elyria,OH,44035,41.37,-82.1,"$18,110 ","$36,927 ","$54,145 ",554,1
Lillie Peres,18,65,2002,1,Female,24 Lafayette Street,Valdosta,GA,31605,30.84,-83.27,"$19,681 ","$40,131 ","$48,468 ",721,1
Liliana Thomas,52,69,1967,10,Female,549 Tenth Avenue,Chicago,IL,60620,41.83,-87.68,"$14,963 ","$30,509 ","$56,953 ",641,2
Selah Morales,87,69,1932,11,Female,983 George Boulevard,Oceanside,CA,92057,33.27,-117.28,"$22,270 ","$33,279 ","$1,642 ",778,6
Kamari Hughes,61,67,1958,3,Male,5363 Tenth Lane,Charlotte,TN,37036,36.18,-87.34,"$17,261 ","$35,196 ","$51,751 ",684,4
Samara Murphy,52,65,1967,10,Female,445 West Boulevard Apt. 1,Jersey City,NJ,7306,40.71,-74.06,"$21,642 ","$44,128 ","$148,684 ",739,3
Rebekah Davis,20,70,1999,8,Female,885 Bayview Lane,Fargo,ND,58103,46.87,-96.81,"$22,214 ","$45,292 ","$88,917 ",660,4
Lennon Martin,42,66,1977,9,Male,763 Lexington Avenue,College Park,MD,20740,38.99,-76.93,"$26,224 ","$53,464 ","$20,683 ",751,4
Wynter Nguyen,40,65,1979,10,Female,464 Lake Drive,Corona,NY,11368,40.74,-73.85,"$13,177 ","$26,865 ","$19,529 ",826,5
Kiana Edwards,18,69,2002,2,Female,2668 Lafayette Avenue,Cape Canaveral,FL,32920,28.4,-80.6,"$20,392 ","$41,579 ","$50,190 ",694,2
Jana Watson,46,70,1973,8,Female,9503 South Street,Big Bear Lake,CA,92315,34.23,-116.86,"$15,515 ","$31,632 ","$76,538 ",832,3
Paisleigh Merkel,30,67,1989,7,Female,594 Mountain View Street,Bismarck,ND,58504,46.8,-100.76,"$23,679 ","$48,277 ","$110,153 ",740,4
Justin Evans,19,62,2000,10,Male,122 11th Drive,Effingham,SC,29541,34.05,-79.75,"$16,393 ","$33,426 ","$51,699 ",664,4
Zaniyah Abe,73,68,1946,3,Female,3802 Maple Street,Cleveland,OH,44104,41.47,-81.67,"$9,389 ","$13,089 ","$10,928 ",772,4
Alfred Abe,24,65,1995,6,Male,7675 Main Boulevard Apt. 2,Allendale,SC,29810,33,-81.3,"$11,384 ","$23,212 ","$25,138 ",799,3
Brian Brown,18,63,2002,1,Male,7193 George Boulevard,Canoga Park,CA,91304,34.22,-118.59,"$24,074 ","$49,084 ","$106,863 ",577,3
Laura Green,63,68,1956,11,Female,412 Spruce Boulevard,Albany,NY,12206,42.66,-73.79,"$15,490 ","$31,582 ","$23,359 ",693,4
Jayceon Foster,74,66,1945,5,Male,960 Mill Lane Apt. 754,Rush,NY,14543,42.98,-77.67,"$26,072 ","$54,013 ","$3,628 ",779,8
Callum Ajami,41,64,1978,12,Male,3536 Burns Street,Texarkana,TX,75501,33.44,-94.07,"$15,884 ","$32,387 ","$65,171 ",765,1
Lilyana Green,61,65,1959,2,Female,576 Jefferson Boulevard,De Land,IL,61839,40.12,-88.64,"$16,978 ","$34,619 ","$13,326 ",747,5
Armani Edwards,52,67,1968,2,Male,142 First Drive,Dallas,TX,75227,32.79,-96.76,"$13,799 ","$28,137 ","$88,482 ",797,6
Liv Evans,56,68,1963,11,Female,5814 Ocean Street Apt. 60,Fall River Mills,CA,96028,41.01,-121.47,"$13,723 ","$27,981 ","$62,926 ",717,3
Amani Roman,65,66,1954,3,Female,6303 South Boulevard,Patterson,LA,70392,29.69,-91.3,"$19,237 ","$39,221 ","$45,409 ",786,4
Kenzie Kelley,25,70,1994,8,Female,166 Littlewood Lane,Los Angeles,CA,90036,34.06,-118.35,"$40,761 ","$83,104 ","$222,502 ",714,5
Johan Xi,59,65,1960,9,Male,948 Federal Drive,Simpsonville,SC,29680,34.73,-82.25,"$23,966 ","$48,867 ","$92,873 ",644,2
Londyn Rodriguez,49,61,1970,4,Female,824 West Drive Apt. 5,Pascoag,RI,2859,41.95,-71.7,"$24,260 ","$49,464 ","$123,198 ",705,6
Milena Reed,37,73,1982,11,Female,4830 Ocean Drive,Parrish,AL,35580,33.73,-87.28,"$17,716 ","$36,122 ","$51,593 ",641,2
Brenden Brown,20,74,1999,9,Male,2539 Hill Street Apt. 7,West Warwick,RI,2893,41.69,-71.51,"$22,701 ","$46,284 ","$46,220 ",850,1
Justice Davis,49,69,1970,10,Female,990 Burns Boulevard,Gastonia,NC,28056,35.25,-81.17,"$23,879 ","$48,688 ","$81,995 ",679,1
Veronica Lewis,50,68,1969,9,Female,9794 Essex Lane Apt. 5,Seattle,WA,98117,47.68,-122.38,"$35,031 ","$71,427 ","$115,702 ",709,3
Eduardo Murphy,60,65,1959,12,Male,53 Madison Street,Kennett Square,PA,19348,39.84,-75.71,"$34,744 ","$70,840 ","$52,578 ",736,4
Reese Torres,32,66,1988,2,Female,8445 11th Lane Apt. 9,Fort Mill,SC,29707,34.99,-80.86,"$26,878 ","$54,804 ","$172,493 ",687,2
Mohamed Perez,88,57,1931,9,Male,636 Main Avenue,Buchanan Dam,TX,78609,30.79,-98.43,"$13,088 ","$22,371 ",$994 ,700,4
Tommy Brown,51,65,1968,11,Male,1209 George Drive,Fayetteville,NC,28312,34.93,-78.72,"$18,376 ","$37,467 ","$50,461 ",784,4
Jaxen Faraday,32,71,1987,11,Male,2426 Littlewood Avenue Apt. 10,Saint Paul,MN,55101,44.94,-93.1,"$30,650 ","$62,492 ","$18,680 ",686,3
Westin Jackson,42,67,1977,8,Male,9387 Lincoln Boulevard Apt. 5,Clever,MO,65631,37.02,-93.47,"$17,222 ","$35,119 ","$57,463 ",850,3
Emmeline Cox,63,66,1957,1,Female,13 Sixth Boulevard,San Diego,CA,92105,32.73,-117.08,"$13,805 ","$28,147 ","$25,987 ",756,7
Rocky Adams,19,62,2001,1,Male,3804 Ninth Street Apt. 8477,Norcross,GA,30092,33.94,-84.2,"$31,677 ","$64,585 ","$121,851 ",665,1
Dario Thompson,33,69,1986,6,Male,81 Wessex Drive,Stockton,CA,95210,38.02,-121.3,"$14,709 ","$29,996 ","$44,313 ",809,4
Ariyah Phillips,61,67,1959,1,Female,2111 Burns Street,El Paso,TX,79928,31.65,-106.15,"$14,322 ","$29,206 ","$25,966 ",716,6
Francis Brooks,51,69,1968,8,Male,932 Bayview Avenue,Prairie Village,KS,66208,38.9,-94.68,"$41,663 ","$84,944 ","$57,746 ",713,3
Emma Ross,21,71,1998,3,Female,7469 El Camino Street,Dearborn,MI,48126,42.31,-83.21,"$11,773 ","$24,006 ","$57,226 ",801,2
Eliseo Price,50,62,1969,11,Male,6669 Burns Street,Torrington,CT,6790,41.83,-73.12,"$22,401 ","$45,674 ","$83,331 ",717,1
Jayde Powell,48,75,1972,1,Female,6126 Ocean View Boulevard,Lapel,IN,46051,40.06,-85.84,"$19,810 ","$40,392 ","$52,417 ",645,1
Jana Howard,41,68,1978,5,Female,1071 Lafayette Street,Pittsfield,NH,3263,43.3,-71.33,"$19,781 ","$40,334 ","$65,793 ",597,3
Reed Ortiz,36,65,1984,1,Male,4172 Federal Drive Apt. 1344,Mesa,AZ,85202,33.38,-111.87,"$21,053 ","$42,927 ","$132,343 ",687,4
Prakash Mitchell,24,69,1995,12,Male,652 Maple Street,Dayton,OH,45420,39.77,-84.19,"$18,208 ","$37,122 ","$58,984 ",753,4
Fiona Jenkins,36,65,1983,5,Female,980 Federal Drive,Detroit,MI,48209,42.38,-83.1,"$9,710 ","$19,800 ","$40,038 ",682,3
Aydin Miller,49,67,1970,8,Male,468 Park Lane,Grantham,PA,17027,40.23,-77.02,"$21,728 ","$44,303 ","$53,407 ",696,1
Heaven Kelley,61,71,1958,4,Female,9189 Valley Street,Utica,NY,13501,43.1,-75.23,"$15,194 ","$30,984 ","$39,222 ",616,4
Casey Carter,45,66,1975,1,Female,471 Eighth Lane,Morristown,NJ,7960,40.79,-74.47,"$55,362 ","$112,875 ","$44,432 ",709,2
Meredith Moore,28,65,1991,11,Female,5663 Martin Luther King Boulevard Apt. 7,Mosheim,TN,37818,36.19,-82.95,"$14,406 ","$29,371 ","$32,300 ",715,2
Hunter Perez,35,64,1984,8,Male,4238 Lexington Lane,Cicero,IL,60804,41.84,-87.75,"$13,891 ","$28,325 ","$38,658 ",822,6
Julia Morris,52,69,1968,2,Female,38688 First Avenue,Chicago,IL,60630,41.83,-87.68,"$22,296 ","$45,462 ","$68,494 ",657,5
Thalia King,32,66,1987,7,Female,767 Park Drive,Lubbock,TX,79413,33.57,-101.87,"$17,444 ","$35,565 ","$54,634 ",681,3
Khalid Murphy,18,64,2002,1,Male,3578 Pine Lane,Concord,NC,28025,35.4,-80.59,"$20,570 ","$41,940 ","$82,593 ",710,1
Jaelyn Diaz,61,70,1958,3,Female,4155 Spruce Avenue,Thorofare,NJ,8086,39.85,-75.18,"$28,663 ","$58,433 ","$48,231 ",696,4
Emmitt Kelley,57,69,1962,11,Male,1690 Main Avenue,Jackson Center,PA,16133,41.27,-80.13,"$16,809 ","$34,272 ","$39,514 ",765,4
Magnus Sullivan,18,69,2001,9,Male,38 Valley Stream Street,Saint Petersburg,FL,33704,27.75,-82.64,"$34,974 ","$71,312 ","$200,793 ",741,4
Camilla Macron,49,69,1970,11,Female,6999 Lexington Lane,Sacramento,CA,95822,38.51,-121.49,"$18,344 ","$37,401 ","$76,201 ",737,4
Anabelle Cook,18,65,2002,2,Female,303 Lexington Drive,Pompano Beach,FL,33071,26.23,-80.13,"$27,916 ","$56,921 ","$115,330 ",823,1
Allan James,52,60,1967,10,Male,146 Plum Avenue,Indianapolis,IN,46203,39.77,-86.14,"$14,691 ","$29,957 ","$60,321 ",624,5
Skylar Perez,51,68,1969,1,Male,6310 El Camino Drive,Godfrey,IL,62035,38.96,-90.18,"$21,680 ","$44,206 ","$62,813 ",690,1
Westley Foster,47,57,1973,1,Male,605 Hillside Boulevard,Abbeville,LA,70510,29.97,-92.12,"$18,730 ","$38,190 ","$81,968 ",652,1
Emmaline Fernandez,37,66,1982,4,Female,363 Main Lane,Blytheville,AR,72315,35.93,-89.92,"$16,689 ","$34,032 ","$68,762 ",769,2
Moises Butler,43,69,1976,6,Male,33 Bayview Avenue,Fayetteville,NC,28303,35.05,-78.87,"$17,751 ","$36,189 ","$16,988 ",694,3
Isaiah Fox,51,65,1969,1,Male,1047 Seventh Street,Jackson,MS,39213,32.32,-90.2,"$11,061 ","$22,557 ","$63,019 ",699,5
Jonas Brown,44,68,1975,11,Male,4169 Fourth Lane,Camarillo,CA,93010,34.23,-119.07,"$27,544 ","$56,163 ","$104,767 ",671,1
Kade Adams,44,71,1975,10,Male,168 Mill Drive,Vancouver,WA,98684,45.63,-122.52,"$22,050 ","$44,963 ","$90,682 ",705,4
Byron Cooper,20,68,1999,11,Male,76089 Grant Boulevard,Sterling Heights,MI,48310,42.58,-83.03,"$19,200 ","$39,144 ","$55,347 ",702,1
Alexandria Brooks,82,67,1937,8,Female,362 Martin Luther King Street Apt. 303,Grover Hill,OH,45849,41.01,-84.47,"$15,090 ","$21,815 ","$1,597 ",498,5
Maggie Wright,49,70,1971,2,Female,6661 Mill Lane,Olympia,WA,98516,47.11,-122.76,"$24,044 ","$49,026 ","$83,385 ",718,1
Ariel Torres,38,68,1982,1,Male,839 Essex Lane,Great Falls,MT,59404,47.65,-111.38,"$19,560 ","$39,882 ","$77,817 ",809,4
Kaitlyn Diaz,59,63,1960,12,Female,265 Ocean Drive,Katy,TX,77493,29.79,-95.82,"$26,422 ","$53,878 ","$78,143 ",779,4
Stevie Macron,18,64,2001,9,Female,3371 Madison Boulevard,Camp Pendleton,CA,92055,33.29,-117.3,"$15,520 ","$31,644 ","$70,064 ",480,1
Nataly Mitchell,30,69,1989,4,Female,145 Spruce Street,Commerce City,CO,80022,39.86,-104.86,"$20,522 ","$41,839 ","$46,226 ",761,4
Hattie Smith,54,66,1965,3,Female,2571 Plum Avenue,Palm Bay,FL,32905,27.98,-80.66,"$15,318 ","$31,240 ","$26,005 ",770,5
Miranda Evans,80,69,1940,1,Female,221 Catherine Boulevard,Fleischmanns,NY,12430,42.15,-74.53,"$14,515 ","$9,766 ",$66 ,732,4
Thalia Phillips,25,65,1994,8,Female,355 Burns Boulevard,Sunbury,PA,17801,40.86,-76.78,"$16,519 ","$33,682 ","$42,690 ",793,1
Jeremiah Gonzalez,29,66,1990,5,Male,7135 Ninth Lane,Chestnut Hill,MA,2467,42.31,-71.16,"$62,177 ","$126,775 ","$28,869 ",685,2
Elaine Johnson,45,72,1974,5,Female,4173 Wessex Avenue,Pennington,AL,36916,32.19,-88.05,"$17,076 ","$34,817 ","$63,313 ",586,1
Ellianna Martin,65,65,1955,2,Female,674 Elm Boulevard,Blair,NE,68008,41.54,-96.13,"$25,102 ","$16,889 ","$38,489 ",679,5
Maren Bennett,25,63,1994,9,Female,212 Lincoln Lane,Jacksonville,FL,32210,30.33,-81.65,"$19,617 ","$40,000 ","$127,951 ",767,3
Chaim Barnes,31,71,1988,5,Male,913 Mill Boulevard,Alstead,NH,3602,43.15,-72.36,"$20,592 ","$41,986 ","$134,162 ",697,1
Brendan Neufelder,23,65,1996,12,Male,2545 Federal Drive,Jersey City,NJ,7306,40.71,-74.06,"$21,642 ","$44,128 ",$0 ,760,1
Edward Roberts,23,65,1996,7,Male,16 Jefferson Drive,Mundelein,IL,60060,42.26,-88,"$28,799 ","$58,721 ","$135,065 ",758,1
Joey Taylor,55,68,1964,5,Male,1587 Rose Lane,Como,MS,38619,34.51,-89.94,"$12,285 ","$25,051 ","$19,465 ",734,4
Elizabeth Gomez,20,67,1999,12,Female,12694 Fourth Boulevard Apt. 1,Yuma,CO,80759,40.12,-102.72,"$14,242 ","$29,040 ","$36,331 ",703,1
Warren Harris,45,67,1974,6,Male,955 Seventh Avenue,Auburn,AL,36831,32.59,-85.48,"$20,782 ","$42,379 ","$64,124 ",550,1
Terrance Martinez,59,67,1960,5,Male,6320 East Avenue,Valley Center,CA,92082,33.25,-116.98,"$22,727 ","$46,341 ","$78,610 ",686,6
Alec Johnson,20,64,2000,2,Male,8997 Summit Avenue,Hummelstown,PA,17036,40.26,-76.71,"$31,040 ","$63,292 ","$145,756 ",635,1
Emmanuel Richardson,37,68,1983,2,Male,95873 Madison Boulevard,Cosby,TN,37722,35.81,-83.25,"$11,755 ","$23,967 ","$3,880 ",722,4
Mira Collins,41,72,1978,12,Female,691 Valley Drive,Brunswick,OH,44212,41.24,-81.82,"$23,559 ","$48,038 ","$83,238 ",704,6
Cristian Macron,27,65,1992,10,Male,311 Little Creek Boulevard,San Francisco,CA,94112,37.72,-122.44,"$22,549 ","$45,973 ",$0 ,777,2
Axl Collins,75,65,1945,2,Male,863 Park Drive Apt. 63,Zebulon,NC,27597,35.82,-78.31,"$19,485 ","$22,850 ","$17,453 ",714,6
Maxine Moore,22,63,1998,1,Female,7902 Norfolk Drive,Essex,MD,21221,39.3,-76.44,"$21,017 ","$42,856 ","$67,954 ",571,1
Dennis Turner,22,66,1997,12,Male,7296 Second Lane,Cynthiana,KY,41031,38.38,-84.29,"$17,478 ","$35,635 ","$16,372 ",713,4
Thea Brown,66,66,1953,5,Female,56 Tenth Boulevard,Los Angeles,CA,90001,33.97,-118.24,"$11,649 ","$24,947 ","$1,767 ",766,4
Zara Chen,74,57,1945,4,Female,826 12th Drive Apt. 3,Santaquin,UT,84655,39.99,-111.81,"$18,058 ","$31,792 ","$28,723 ",647,3
Addyson Xi,23,59,1996,8,Female,2478 El Camino Avenue,Joaquin,TX,75954,31.96,-94.05,"$19,119 ","$38,983 ","$96,098 ",577,1
London Fisher,31,67,1988,4,Female,8862 Ninth Avenue,North Wales,PA,19454,40.21,-75.27,"$35,861 ","$73,117 ","$73,557 ",685,2
Sylvia Butler,59,66,1960,3,Female,8060 Pine Boulevard,Providence,RI,2903,41.82,-71.41,"$30,403 ","$61,991 ","$2,151 ",758,4
Harlee Mitchell,19,65,2000,3,Female,5709 Little Creek Lane Apt. 17,Detroit,MI,48223,42.38,-83.1,"$15,790 ","$32,192 ","$24,074 ",686,2
Chris Hill,36,64,1983,11,Male,2352 Bayview Boulevard Apt. 10,Orlando,FL,32804,28.5,-81.37,"$33,078 ","$67,444 ","$93,513 ",850,1
Kailyn Parker,22,67,1997,10,Female,6179 Eighth Boulevard Apt. 8,Standish,ME,4084,43.73,-70.55,"$22,485 ","$45,846 ","$103,277 ",766,1
Perla Chen,81,70,1938,6,Female,7673 Plum Drive,Tampa,FL,33617,27.95,-82.48,"$18,881 ","$28,594 ","$1,821 ",728,5
Helen Leroux,29,71,1990,10,Female,412 First Boulevard,Humble,TX,77346,29.99,-95.26,"$32,943 ","$67,166 ","$123,932 ",688,2
Christian Lonsdale,47,72,1972,5,Male,38318 West Drive,Dawsonville,GA,30534,34.42,-84.11,"$20,581 ","$41,965 ","$55,700 ",724,2
Yareli Wilson,47,68,1973,1,Female,965 Wessex Street,La Habra,CA,90631,33.94,-117.95,"$23,740 ","$48,406 ","$80,441 ",683,3
Jessie Xi,35,67,1984,11,Female,5223 Lafayette Drive,Newtown,PA,18940,40.22,-74.93,"$50,208 ","$102,369 ","$189,558 ",738,2
Kaitlyn Martinez,66,67,1953,11,Female,289 Ocean View Avenue,Miami,FL,33193,25.77,-80.2,"$17,893 ","$36,481 ","$81,550 ",850,6
Westley Lopez,25,63,1994,11,Male,225 Seventh Avenue,Osseo,MN,55369,45.11,-93.39,"$29,872 ","$60,910 ","$110,864 ",679,2
Kaylee Ward,49,65,1970,11,Female,8893 Littlewood Lane Apt. 76,Charleston,SC,29403,32.78,-79.99,"$17,158 ","$34,982 ","$134,631 ",765,3
Abril Martin,79,57,1940,12,Female,2487 Martin Luther King Drive Apt. 38,Waipahu,HI,96797,21.39,-158.01,"$21,314 ","$32,232 ","$21,134 ",652,5
Andrew Turner,37,69,1983,1,Male,9550 Jefferson Street Apt. 7,West Bloomfield,MI,48322,42.56,-83.38,"$32,423 ","$66,111 ","$98,102 ",771,5
Rose Schmidt,81,59,1938,8,Female,97339 Lake Avenue Apt. 3,Irvington,NY,10533,41.03,-73.86,"$74,205 ","$162,709 ","$5,642 ",542,3
Bryson Peres,46,70,1974,1,Male,3551 Spruce Boulevard,Des Moines,IA,50313,41.57,-93.61,"$18,568 ","$37,857 ","$57,727 ",800,2
Amir Leroux,70,66,1949,7,Male,744 Lafayette Street,Franklin,TX,77856,31.02,-96.48,"$17,356 ","$23,082 ","$23,406 ",638,5
Malcolm Masvidal,83,64,1936,6,Male,873 Summit Street Apt. 46,Brooklyn,NY,11215,40.64,-73.94,$0 ,$2 ,$0 ,667,6
Lincoln Fox,37,68,1982,9,Male,1723 North Lane Apt. 9,Stratford,CT,6614,41.2,-73.13,"$27,589 ","$56,248 ","$149,587 ",728,4
Rose Adams,18,67,2001,3,Female,356 Plum Boulevard Apt. 7,Lone Star,TX,75668,32.93,-94.7,"$15,832 ","$32,281 ","$80,882 ",630,2
Angelo Cook,85,71,1934,5,Male,2 11th Avenue,Sumter,SC,29153,33.94,-80.39,"$14,224 ","$30,451 ",$93 ,686,4
Yaretzi Cook,85,62,1934,4,Female,7016 Hillside Lane,Canton,NC,28716,35.54,-82.84,"$16,248 ","$28,134 ","$2,081 ",674,2
Susan Diaz,47,65,1972,12,Female,14780 Plum Lane Apt. 72,Bronx,NY,10463,40.84,-73.87,"$25,537 ","$52,065 ","$98,613 ",828,5
Alivia Ryan,32,67,1987,7,Female,2785 Elm Drive,Garden Grove,CA,92844,33.76,-117.97,"$16,289 ","$33,212 ","$59,638 ",649,1
Axl Powell,52,65,1967,9,Male,858 Martin Luther King Drive Apt. 1,North Hollywood,CA,91605,34.2,-118.39,"$15,239 ","$31,070 ","$86,747 ",708,4
Jaxson Anderson,18,68,2001,11,Male,69524 Valley Lane,Marion,KY,42064,37.33,-88.07,"$14,500 ","$29,562 ","$31,509 ",757,1
Jose Thomas,52,67,1967,10,Male,6785 Essex Lane,Gaithersburg,MD,20879,39.14,-77.21,"$30,179 ","$61,532 ","$26,832 ",683,4
Alivia Cook,18,62,2002,1,Female,91 Essex Lane,Alamogordo,NM,88310,32.88,-105.95,"$15,095 ","$30,778 ","$73,680 ",681,1
Kingsley Neufelder,66,57,1953,10,Male,35 Essex Drive,Westfield,NC,27053,36.48,-80.61,"$15,838 ","$27,266 ","$19,798 ",777,5
Ronan Sullivan,57,69,1962,5,Male,241 Hillside Lane,Grand Forks,ND,58201,47.91,-97.07,"$23,910 ","$48,750 ","$117,616 ",716,5
Cole Murphy,18,67,2002,2,Male,628 Norfolk Avenue,Arlington,MA,2476,42.41,-71.16,"$40,694 ","$82,972 ","$173,295 ",653,1
Jolie Masvidal,21,62,1998,7,Female,288 North Avenue,New Orleans,LA,70118,30.06,-89.93,"$27,603 ","$56,280 ","$81,803 ",760,1
Otto Williams,18,67,2001,4,Male,6445 Ninth Lane,Lynnwood,WA,98037,47.85,-122.28,"$24,564 ","$50,086 ","$51,164 ",776,3
Kyla Thompson,22,69,1997,12,Female,8974 West Lane,Oklahoma City,OK,73112,35.46,-97.51,"$19,076 ","$38,892 ","$50,150 ",705,2
Anika Garcia,47,66,1972,4,Female,9020 North Street Apt. 4,Decatur,IL,62521,39.85,-88.93,"$22,153 ","$45,164 ",$0 ,730,3
Jamie Rivera,38,66,1981,7,Female,4260 Essex Lane,Quakertown,PA,18951,40.43,-75.34,"$25,205 ","$51,391 ","$94,145 ",656,1
Blake Sadr,54,69,1966,1,Male,112 Burns Lane,Massillon,OH,44646,40.78,-81.52,"$20,783 ","$42,379 ","$136,748 ",692,3
Santiago Cruz,49,62,1970,8,Male,344 Birch Street Apt. 9,Denison,IA,51442,42.01,-95.34,"$16,673 ","$33,995 ","$46,102 ",531,1
Hezekiah Howard,18,65,2002,1,Male,822 Ocean View Lane Apt. 27,Baldwin Park,CA,91706,34.09,-117.96,"$15,775 ","$32,165 ","$25,778 ",689,1
Adley Rivera,54,67,1965,5,Female,984 Eighth Avenue Apt. 8,Old Saybrook,CT,6475,41.29,-72.36,"$30,281 ","$61,740 ","$126,015 ",583,2
Analia Collins,86,69,1933,11,Female,235 Fourth Street Apt. 8,Hattiesburg,MS,39401,31.31,-89.3,"$14,383 ","$9,678 ",$812 ,688,6
Macy Anwar,46,73,1974,2,Female,2794 Seventh Drive Apt. 2,Millington,TN,38053,35.33,-89.88,"$19,115 ","$38,971 ",$0 ,784,3
Nico Brown,85,71,1934,7,Male,5993 12th Lane,Lubbock,TX,79403,33.57,-101.87,"$12,187 ","$12,826 ","$1,550 ",734,5
Keith Labelle,77,60,1942,6,Male,766 Mountain View Drive Apt. 1,Mission,TX,78572,26.21,-98.31,"$14,275 ","$22,104 ","$20,031 ",670,3
Serenity Foster,23,71,1996,10,Female,533 Fourth Street,Fair Oaks,CA,95628,38.65,-121.25,"$27,548 ","$56,168 ","$186,534 ",703,3
Arthur White,18,65,2002,2,Male,6638 Summit Lane,Asheville,NC,28803,35.57,-82.54,"$22,223 ","$45,313 ","$21,488 ",716,2
Jemma Thomas,53,65,1966,12,Female,1540 El Camino Avenue Apt. 6,West Palm Beach,FL,33406,26.74,-80.12,"$18,205 ","$37,119 ","$55,010 ",718,5
Isla Ramirez,25,67,1995,1,Female,8482 Elm Lane,Palmer,TX,75152,32.42,-96.67,"$21,032 ","$42,883 ","$65,917 ",807,3
Noa King,53,58,1966,11,Female,6733 Third Boulevard,Elyria,OH,44035,41.37,-82.1,"$18,110 ","$36,925 ","$89,762 ",721,5
